Item Name,Unit / Type,Item Category
Chicken Breast,g,Meat
Chicken Thigh,g,Meat
Crab,pcs,Seafood
Soup Prawn,pcs,Seafood
Tempura Prawn,pcs,Seafood
Dory Fish,g,Seafood
Loitta Fish,g,Seafood
Octopus,g,Seafood
Squid,g,Seafood
Sweet Chili,ml,Sauce
Flour,g,Baking
Garlic,g,Produce
Onion,g,Produce
Oregano,g,Herb
White Pepper,g,Spice
Black Pepper,g,Spice
Oil,g,Oil
Paprika,g,Spice
Bread Crumb,g,Baking
Wrapping Paper,pkt,Packaging
Butter Local,g,Dairy
Lemongrass,g,Herb
Thai Ginger,g,Produce
Lemon Leaf,g,Herb
NUN Vinegar,ml,Vinegar
Dark Soya Sauce,ml,Sauce
Chili Sauce,ml,Sauce
Fish Sauce,ml,Sauce
L.P. Sauce,ml,Sauce
Sriracha Hot Sauce,ml,Sauce
Light Soya Sauce,ml,Sauce
Apple Vinegar,ml,Vinegar
Naga Sauce,ml,Sauce
Kikkoman Sauce,ml,Sauce
Mustard Paste,g,Condiment
Mustard Oil,ml,Oil
Carnation Milk,ml,Dairy
BBQ Sauce,ml,Sauce
Baking Powder,g,Baking
Mushroom Can,g,Canned Food
Red Cow Oil Butter,ml,Dairy
Pepsi Glass,pcs,Packaging
Mirinda Glass,pcs,Packaging
Disposable Cup,pcs,Packaging
7UP,ml,Beverage
7UP 1/2 L,ml,Beverage
Pepsi 1/2 L,ml,Beverage
Water 1/2 L,ml,Beverage
Water 1 L,ml,Beverage
Bengali Spice,g,Spice
Egg,pcs,Egg
Cajun Sauce,ml,Sauce
Tempura Powder,g,Baking
Batter Mix,g,Baking
French Fries,g,Frozen Food
Tartar Sauce,ml,Sauce
Cheese,g,Dairy
Ketchup,ml,Sauce
Masala,g,Spice
Tomato,g,Produce
Sour Yogurt,g,Dairy
Green Sauce,ml,Sauce
Chili Oil,ml,Oil
Momo Wrapper / Patti,pcs,Wrapper
Naga Chili,pcs,Produce
Chicken Dumpling,pcs,Frozen Food
Chicken Momo,pcs,Frozen Food
Base Sauce,ml,Sauce
Pasta,g,Pasta
Cream,ml,Dairy
Noodles,packets,Noodles
Vegetables,g,Produce
Tomato Sauce,ml,Sauce
Chips Spice,g,Spice
Chili Flakes,g,Spice
Soda Water,ml,Beverage
Fries,g,Frozen Food
Chicken Drumstick,pcs,Meat
Green Chili,pcs,Produce
Mayonnaise,g,Condiment
Ready-to-cook Chicken,g,Frozen Food
Maida Wrapper / Patti,pcs,Wrapper
Ready-to-cook Mutton,g,Frozen Food
Vegetable + Naga Mix,g,Frozen Food
Rice,g,Grain
Sauce,ml,Sauce
Lemon,pcs,Produce
Coriander,g,Herb
Kashmiri Powder,g,Spice
Sugar,g,Sweetener
Curry Powder,g,Spice
Garam Masala,g,Spice
Mint Leaf,g,Herb
Yogurt,g,Dairy
Salt,g,Seasoning
C.K. Powder,g,Seasoning
